"filename", "language", "TypeScript", "TypeScript JSX", "JSON with Comments", "Vue", "SCSS", "JSON", "Markdown", "comment", "blank", "total"
"e:\enLearn\packages\lowcode-framework\src\packages\base-widgets\tabbar\index.tsx", "TypeScript JSX", 0, 64, 0, 0, 0, 0, 0, 0, 3, 67
"e:\enLearn\packages\lowcode-framework\src\packages\base-widgets\tabbar\tabbar-item.tsx", "TypeScript JSX", 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"e:\enLearn\packages\lowcode-framework\src\packages\base-widgets\text\fontArr.ts", "TypeScript", 46, 0, 0, 0, 0, 0, 0, 8, 1, 55
"e:\enLearn\packages\lowcode-framework\src\packages\base-widgets\text\index.tsx", "TypeScript JSX", 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"e:\enLearn\packages\lowcode-framework\src\packages\business-component\index.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 5, 23
"e:\enLearn\packages\lowcode-framework\src\packages\business-component\lowcode-button-group\index.tsx", "TypeScript JSX", 0, 84, 0, 0, 0, 0, 0, 0, 9, 93
"e:\enLearn\packages\lowcode-framework\src\packages\business-component\lowcode-edit-form\index.tsx", "TypeScript JSX", 0, 51, 0, 0, 0, 0, 0, 0, 4, 55
"e:\enLearn\packages\lowcode-framework\src\packages\business-component\lowcode-grid\index.tsx", "TypeScript JSX", 0, 112, 0, 0, 0, 0, 0, 0, 11, 123
"e:\enLearn\packages\lowcode-framework\src\packages\business-component\lowcode-modal\index.tsx", "TypeScript JSX", 0, 56, 0, 0, 0, 0, 0, 0, 4, 60
"e:\enLearn\packages\lowcode-framework\src\packages\business-component\lowcode-search-form\index.tsx", "TypeScript JSX", 0, 65, 0, 0, 0, 0, 0, 0, 8, 73
