"filename", "language", "TypeScript", "JSON with Comments", "YAML", "JSON", "Vue", "Markdown", "CSS", "HTML", "JavaScript", "TypeScript JSX", "Skill", "SCSS", "JavaScript JSX", "comment", "blank", "total"
"e:\enLearn\packages\gantt-main\vue\src\components\grid\ActionCell.vue", "Vue", 0, 0, 0, 0, -55, 0, 0, 0, 0, 0, 0, 0, 0, 0, -7, -62
"e:\enLearn\packages\gantt-main\vue\src\components\grid\EditorResourcesCell.vue", "Vue", 0, 0, 0, 0, -33, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5, -38
"e:\enLearn\packages\gantt-main\vue\src\components\grid\Grid.vue", "Vue", 0, 0, 0, 0, -549, 0, 0, 0, 0, 0, 0, 0, 0, 0, -59, -608
"e:\enLearn\packages\gantt-main\vue\src\components\grid\GroupCellText.vue", "Vue", 0, 0, 0, 0, -55, 0, 0, 0, 0, 0, 0, 0, 0, 0, -9, -64
"e:\enLearn\packages\gantt-main\vue\src\components\grid\HeaderMenu.vue", "Vue", 0, 0, 0, 0, -14, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -18
"e:\enLearn\packages\gantt-main\vue\src\components\grid\ResourcesCell.vue", "Vue", 0, 0, 0, 0, -26, 0, 0, 0, 0, 0, 0, 0, 0, 0, -7, -33
"e:\enLearn\packages\gantt-main\vue\src\components\grid\TextCell.vue", "Vue", 0, 0, 0, 0, -66, 0, 0, 0, 0, 0, 0, 0, 0, 0, -7, -73
"e:\enLearn\packages\gantt-main\vue\src\components\resource\LoadCell.vue", "Vue", 0, 0, 0, 0, -14, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -18
"e:\enLearn\packages\gantt-main\vue\src\components\resource\NameCell.vue", "Vue", 0, 0, 0, 0, -77, 0, 0, 0, 0, 0, 0, 0, 0, 0, -9, -86
"e:\enLearn\packages\gantt-main\vue\src\components\resource\NameCellCompact.vue", "Vue", 0, 0, 0, 0, -40, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6, -46
